Epoch,Loss,Acc,Val_acc,Mem_Use,GPU_Use,Pow_Cons,Time
0,4.074945449829102,0.2187635749578476,0.052439022809267044,0.8378756150442604,0.0,5265,392.72984743118286
1,3.1923303604125977,0.2968003451824188,0.052439022809267044,0.8199520785433245,96.6,13227,291.00951886177063
2,3.3160970211029053,0.33342984318733215,0.052439022809267044,0.8223287776609657,41.8,5224,326.70501041412354
3,3.5543885231018066,0.35210657119750977,0.007317073177546263,0.820948685293925,99.3,14270,292.63941407203674
4,2.0059564113616943,0.3800492286682129,0.007317073177546263,0.8219304768498338,0.7,11475,295.59440517425537
5,2.7286860942840576,0.4030693471431732,0.007317073177546263,0.8237681308067728,8.8,11975,293.68433833122253
6,2.790120840072632,0.42174604535102844,0.007317073177546263,0.8255134747044796,24.1,11892,295.97217321395874
7,2.2838079929351807,0.44534531235694885,0.007317073177546263,0.8283465957816583,0.8,11308,298.4605004787445
8,1.809400200843811,0.47574925422668457,0.007317073177546263,0.8278810567792336,9.6,8191,298.9669756889343
9,2.6242828369140625,0.49167510867118835,0.12195122241973877,0.8236809490841646,0.0,5349,326.7310266494751
10,3.379575490951538,0.5142608880996704,0.43048781156539917,0.8271203535133379,3.5,11183,296.02133893966675
11,2.2159082889556885,0.5380049347877502,0.34756097197532654,0.8263607898778031,4.6,12768,299.4986078739166
12,0.9560100436210632,0.5561025142669678,0.37195122241973877,0.8255282898991712,16.2,12226,292.6324760913849
13,1.4776448011398315,0.5779643654823303,0.21097561717033386,0.8246108874586527,0.0,5265,326.69682788848877
14,1.943186640739441,0.5956276059150696,0.22926829755306244,0.8254901122820814,1.1,11725,297.41430473327637
15,0.8035139441490173,0.6132908463478088,0.21219512820243835,0.8314965340991649,0.0,9570,296.0223069190979
16,2.007011651992798,0.6300854086875916,0.2353658527135849,0.8373234641344081,32.7,5391,326.8619194030762
17,0.7745113968849182,0.649196445941925,0.24756097793579102,0.8357701479525116,10.8,11391,294.0281810760498
18,2.5581741333007812,0.6662805676460266,0.2670731842517853,0.8320583718670849,5.0,12977,294.2490088939667
19,1.5374832153320312,0.6748226284980774,0.356097549200058,0.837101236214034,8.0,11266,297.75024700164795
20,3.974775791168213,0.6939336657524109,0.30121952295303345,0.8290884951465992,16.6,12685,291.8139967918396
21,2.008498430252075,0.7053713798522949,0.36097562313079834,0.8293323760438301,1.0,11433,295.2068564891815
22,1.349115252494812,0.7211524248123169,0.31951218843460083,0.832136436546806,99.7,13352,296.93459367752075
23,1.2166340351104736,0.7269436717033386,0.2768292725086212,0.8307181665626754,27.0,11809,293.98220133781433
24,1.1706173419952393,0.7412769794464111,0.46585366129875183,0.8361980791530267,5.9,12101,302.13942861557007
25,2.5575907230377197,0.7482264637947083,0.5097560882568359,0.832216780487249,0.9,11725,298.1616735458374
26,2.067018747329712,0.7576372027397156,0.4695121943950653,0.8389502864745819,1.2,11975,293.9240930080414
27,1.5450917482376099,0.7612566947937012,0.3573170602321625,0.8355445011410549,99.6,13436,295.12938714027405
28,2.4521124362945557,0.7758795619010925,0.4109756052494049,0.8317466829633808,99.3,13227,294.3846220970154
29,1.8812859058380127,0.7816707491874695,0.4390243887901306,0.8396317854303956,96.0,13728,296.192613363266
30,1.7798632383346558,0.7961488366127014,0.49268293380737305,0.8402825143664653,99.6,13227,298.093487739563
31,1.2537394762039185,0.7935428023338318,0.4085365831851959,0.8402699784324954,15.5,11767,294.98642134666443
32,1.431801438331604,0.8090342879295349,0.5109755992889404,0.8394220934439914,9.4,5224,326.83470916748047
33,1.8483551740646362,0.8125090599060059,0.4878048896789551,0.8404483305839751,1.1,11725,299.8435413837433
34,2.191633701324463,0.8158389925956726,0.5365853905677795,0.8418876837297823,0.0,9068,299.6217839717865
35,0.961381733417511,0.8282901644706726,0.5695121884346008,0.8414682997569738,99.6,12977,295.0846903324127
36,1.4849148988723755,0.8266975283622742,0.5792682766914368,0.840258012313706,8.6,11600,294.6822531223297
37,2.385127067565918,0.8293036222457886,0.5219511985778809,0.8431201939650874,11.7,11016,295.5360527038574
38,0.5115887522697449,0.8434920907020569,0.540243923664093,0.8406038901282369,0.8,12226,293.2084712982178
39,1.043878436088562,0.8423338532447815,0.48170730471611023,0.840915579031941,2.7,12518,293.5302050113678
40,1.5054978132247925,0.8482698798179626,0.5597561001777649,0.8445492904376466,98.8,14020,294.78447222709656
41,2.1785895824432373,0.8529028296470642,0.5097560882568359,0.8513614309198811,1.1,10682,293.9215564727783
42,1.8787147998809814,0.8608657717704773,0.4987804889678955,0.8448700963842378,7.0,12768,296.25271439552307
43,1.052585482597351,0.8575358390808105,0.5621951222419739,0.8441726426033715,0.5,11183,299.5600435733795
44,1.1622365713119507,0.8654987812042236,0.5695121884346008,0.8432045266117935,0.0,5224,326.7988476753235
45,0.7966020107269287,0.8643405437469482,0.5621951222419739,0.8526446547062461,0.0,9194,293.54615092277527
46,1.3710970878601074,0.874909520149231,0.5634146332740784,0.8527551988512526,99.6,13186,291.63897919654846
47,0.6322213411331177,0.8788185715675354,0.6012195348739624,0.846526549113795,0.8,11767,292.62213373184204
48,1.101232647895813,0.8820037841796875,0.5963414907455444,0.848776749261377,18.7,11266,290.18890595436096
49,2.913027048110962,0.8840306997299194,0.5365853905677795,0.8606653731862071,99.6,13019,291.48393034935
50,0.7479905486106873,0.8924279808998108,0.5987805128097534,0.8636933710550982,7.5,12434,293.71396136283875
51,1.3276528120040894,0.89011150598526,0.5939024686813354,0.8572949163938677,15.6,11350,292.23104596138
52,0.9793078899383545,0.8902562856674194,0.6024390459060669,0.8526355376633589,6.6,5224,326.924387216568
53,1.0277609825134277,0.8888084292411804,0.5097560882568359,0.8495887358935129,0.0,5140,326.88602018356323
54,0.38849717378616333,0.9014043807983398,0.5841463208198547,0.8524412306868268,10.5,11934,295.9604539871216
55,0.22083419561386108,0.9015491604804993,0.5841463208198547,0.8482388437310359,7.5,11767,295.24125385284424
56,0.5600065588951111,0.9042999744415283,0.5804877877235413,0.8487653529577681,0.7,10932,296.4553599357605
57,2.639508008956909,0.9126972556114197,0.5926828980445862,0.8490428529506454,99.6,12768,295.91246485710144
58,1.0365246534347534,0.9115390181541443,0.5487805008888245,0.8558572726936018,99.0,14062,295.16118335723877
59,1.6128742694854736,0.9079195261001587,0.5963414907455444,0.8550578219954358,99.7,12810,295.37689423561096
