Epoch,Loss,Acc,Val_acc,Mem_Use,GPU_Use,Pow_Cons,Time
0,3.322509527206421,0.21977703273296356,0.12195122241973877,0.8423507973600854,97.4,18582,596.1127288341522
1,3.8469438552856445,0.30317071080207825,0.3524390161037445,0.822380281882993,99.3,18373,509.21920800209045
2,2.880828857421875,0.3486318290233612,0.11585365980863571,0.8264532309742673,0.0,6780,514.1859498023987
3,2.080747604370117,0.3910525441169739,0.43170732259750366,0.8166174497256935,11.9,13519,510.48149847984314
4,3.2816545963287354,0.4227595329284668,0.46219512820243835,0.8261770988324859,0.0,6989,514.2368619441986
5,3.615196943283081,0.4621398448944092,0.48048779368400574,0.8250092424394563,99.2,17873,511.01461029052734
6,2.9068100452423096,0.49920371174812317,0.5207316875457764,0.8257514902007321,4.4,16123,511.1986770629883
7,2.7735681533813477,0.53554368019104,0.5695121884346008,0.8259266401336388,8.2,13728,512.1516976356506
8,3.5065956115722656,0.5750687718391418,0.5768292546272278,0.8240524787994413,99.6,18498,513.8810412883759
9,3.3515167236328125,0.5977993607521057,0.5865853428840637,0.8276678700855326,99.1,17582,513.5137758255005
10,4.32444953918457,0.6280584931373596,0.4414634108543396,0.8326405307214123,99.7,18832,509.29560565948486
11,2.412997245788574,0.6549876928329468,0.6524389982223511,0.8373148088983012,0.0,6738,514.3151521682739
12,3.041217088699341,0.686115562915802,0.6317073106765747,0.8391684314781513,5.4,14479,512.3689522743225
13,3.5053956508636475,0.7039235830307007,0.5902438759803772,0.8322149220896585,99.7,16873,515.5084638595581
14,2.0259437561035156,0.7117416858673096,0.6682927012443542,0.833138595514336,99.7,18707,512.5498023033142
15,6.1921000480651855,0.7382365465164185,0.6926829218864441,0.8432545025513697,94.2,16707,512.708322763443
16,1.713192105293274,0.7531489729881287,0.6878048777580261,0.840732799934276,0.1,14312,512.8850121498108
17,3.007924795150757,0.7819603085517883,0.7036585211753845,0.8366427352143789,0.0,7157,514.3047518730164
18,2.4602255821228027,0.7658897042274475,0.6573171019554138,0.8412924809902418,99.4,16165,517.3558959960938
19,2.7673661708831787,0.7962936162948608,0.6963414549827576,0.83455234643858,0.0,5273,574.4888863563538
20,4.3263044357299805,0.8113508224487305,0.7158536314964294,0.8425539028197427,0.6,14729,512.6375343799591
21,2.492523431777954,0.8301723003387451,0.6719512343406677,0.8498788213493506,99.6,16790,516.0810046195984
22,2.68259859085083,0.834226131439209,0.6975609660148621,0.8598007512619924,94.9,16790,515.5035202503204
23,2.8341524600982666,0.8465325236320496,0.6792683005332947,0.8521392253694694,99.5,19094,516.1046249866486
24,4.085146427154541,0.8597075343132019,0.6914634108543396,0.8642160129257227,99.7,15832,515.8459548950195
25,2.727259635925293,0.8652092218399048,0.7170731425285339,0.8541765556965376,0.0,5022,574.4929184913635
