Epoch,Loss,Acc,Val_acc,Mem_Use,GPU_Use,Pow_Cons,Time
0,3.0815682411193848,0.23555812239646912,0.15975609421730042,0.8570690969337922,96.4,19552,815.7573771476746
1,2.17209792137146,0.3193861246109009,0.22317072749137878,0.8780425882481812,13.4,14957,727.4910752773285
2,2.0915637016296387,0.3788909912109375,0.20000000298023224,0.8577611388511077,99.6,15499,708.2126631736755
3,3.0773141384124756,0.4333285093307495,0.18048781156539917,0.8529122812622661,9.4,5483,758.5783717632294
4,3.0888731479644775,0.4863182306289673,0.23292683064937592,0.8589016102383409,99.5,18678,707.1008985042572
5,2.6191153526306152,0.5325032472610474,0.3109756112098694,0.8617513624040384,9.0,15124,704.6600325107574
6,1.8801108598709106,0.5812943577766418,0.2353658527135849,0.8608333941889018,99.6,18928,706.7179927825928
7,1.8199684619903564,0.6213985681533813,0.21097561717033386,0.8511733333941889,8.3,14624,706.086827993393
8,1.1190558671951294,0.6633849740028381,0.2780487835407257,0.8596489926882035,4.1,5399,758.4558990001678
9,1.3916411399841309,0.6917619705200195,0.3121951222419739,0.8565482113027048,99.7,15707,702.6618809700012
10,1.1194912195205688,0.725351095199585,0.35853657126426697,0.8564500816986006,99.6,19011,703.9551129341125
11,0.9869616031646729,0.7464890480041504,0.2963414490222931,0.854696870806671,14.9,15665,704.633059501648
12,0.5453689098358154,0.776024341583252,0.26951220631599426,0.8681503254251522,99.6,16082,706.2645008563995
13,1.0804662704467773,0.7923845648765564,0.3280487656593323,0.8709686989383746,99.6,17498,707.1918563842773
14,1.2048519849777222,0.8099030256271362,0.35121950507164,0.8666532784416106,8.0,13770,704.9231963157654
15,0.24664165079593658,0.833212673664093,0.34756097197532654,0.8695652173913043,0.8,13311,704.7932155132294
16,0.4950716197490692,0.8515998125076294,0.3926829397678375,0.8583464933500078,39.4,5357,762.6424422264099
17,0.6731359958648682,0.856667160987854,0.35853657126426697,0.862455955782344,99.6,16957,701.2876870632172
18,0.9386226534843445,0.8720139265060425,0.28536584973335266,0.8723984244493331,0.6,14957,698.9073252677917
19,1.2151474952697754,0.87766033411026,0.393902450799942,0.8702429962847675,19.4,13645,702.4930205345154
20,0.7128303050994873,0.891124963760376,0.3341463506221771,0.8746702388885339,99.6,17248,699.1916241645813
21,0.866527795791626,0.8870710730552673,0.4390243887901306,0.8673031018083233,4.3,12727,699.9984395503998
22,0.20739583671092987,0.9108151197433472,0.4268292784690857,0.8802493632986153,10.5,14604,701.5710813999176
