Epoch,Loss,Acc,Val_acc,Mem_Use,GPU_Use,Pow_Cons,Time
0,0.49317753314971924,0.6895714402198792,0.6934999823570251,0.8126351065705224,99.7,20518,784.9289743900299
1,0.3065448999404907,0.7870000004768372,0.6067500114440918,0.8310435461777071,99.7,18928,786.3913660049438
2,0.2299921065568924,0.8364285826683044,0.6737499833106995,0.8205442430694502,72.0,18123,797.6380045413971
3,0.19088713824748993,0.8644999861717224,0.746749997138977,0.8216459196603344,99.3,18220,798.9833853244781
4,0.2530013918876648,0.8794285655021667,0.8604999780654907,0.8218672819168146,99.7,18082,801.1851496696472
5,0.09536455571651459,0.8937857151031494,0.8692499995231628,0.809667254874106,99.6,18137,799.0213170051575
6,0.14512386918067932,0.8999285697937012,0.6547499895095825,0.8122288954194558,99.7,17457,800.7304453849792
7,0.13575968146324158,0.9060714244842529,0.8292499780654907,0.8219152057043,99.7,17832,803.0525414943695
8,0.4090249538421631,0.9117857217788696,0.8547499775886536,0.8232313982963093,99.5,18553,800.627537727356
9,0.11977244913578033,0.9157857298851013,0.7892500162124634,0.8236855332348614,99.4,18387,798.4577941894531
10,0.16840116679668427,0.9196428656578064,0.815500020980835,0.8256760819793437,99.7,18040,791.419602394104
11,0.12653523683547974,0.9243571162223816,0.6587499976158142,0.825243626849416,99.7,18304,789.1757853031158
12,0.12883563339710236,0.9279285669326782,0.8889999985694885,0.8286941395483639,99.5,18678,784.9080064296722
13,0.18609730899333954,0.928428590297699,0.8612499833106995,0.8329656323686389,99.7,17873,780.3210206031799
14,0.03598281368613243,0.9315000176429749,0.640749990940094,0.8320818949065572,99.7,18290,781.5020558834076
15,0.005805943161249161,0.9339285492897034,0.859000027179718,0.8329838890495858,99.6,18123,782.0834262371063
16,0.03298155590891838,0.9429285526275635,0.8495000004768372,0.8355569400205274,99.7,17332,780.9972534179688
17,0.04095751792192459,0.9398571252822876,0.7832499742507935,0.8453664829017625,99.5,18636,779.0560653209686
18,0.10831433534622192,0.943142831325531,0.871999979019165,0.8369438772512057,99.6,18304,778.5993475914001
19,0.19614411890506744,0.944857120513916,0.8999999761581421,0.8337569453834274,99.7,17373,779.199568271637
