Epoch,Loss,Acc,Val_acc,Mem_Use,GPU_Use,Pow_Cons,Time
0,0.7318533658981323,0.6225000023841858,0.5057500004768372,0.8425887045979424,0.0,5985,547.1603474617004
1,0.5538778305053711,0.6776428818702698,0.5,0.8551384540251394,99.2,19314,478.31985425949097
2,0.5463151335716248,0.6776428818702698,0.6777499914169312,0.8662641831509188,64.5,18179,478.8311405181885
3,0.6658875942230225,0.6859285831451416,0.5007500052452087,0.8684224639202549,96.2,18220,468.4831986427307
4,0.4605780839920044,0.690500020980835,0.4869999885559082,0.8578027868807565,99.2,18345,469.4150207042694
5,0.6360495686531067,0.7009285688400269,0.5534999966621399,0.8621096495632091,99.2,18137,469.4574317932129
6,0.43010175228118896,0.7072142958641052,0.5882499814033508,0.857914608987759,99.3,18082,469.31155920028687
7,0.4699920415878296,0.7178571224212646,0.547249972820282,0.8580270016157153,99.4,18345,469.24026584625244
8,0.38398277759552,0.7263571619987488,0.5267500281333923,0.8577617093720619,99.6,17832,470.0394582748413
9,0.523792028427124,0.7321428656578064,0.5,0.861901409414965,99.6,17748,469.45178842544556
10,0.3287518620491028,0.7459285855293274,0.5,0.8554505289870287,0.0,6822,473.8199920654297
11,0.5265756845474243,0.7589285969734192,0.4997499883174896,0.8592781540680426,81.6,17665,467.95403122901917
12,0.501755952835083,0.7680714130401611,0.5224999785423279,0.8550642863011073,99.4,17971,468.27256751060486
13,0.30219653248786926,0.7747142910957336,0.5222499966621399,0.8548166802070306,0.0,7073,483.17601585388184
14,0.5604798793792725,0.7791428565979004,0.5245000123977661,0.858634035910871,99.4,18345,467.36639070510864
15,0.4477955102920532,0.7887142896652222,0.5082499980926514,0.8688611945339528,83.1,17498,469.47662568092346
16,0.39386799931526184,0.7997857332229614,0.606249988079071,0.861949903696063,0.0,6906,473.9190125465393
17,0.2647355794906616,0.80564284324646,0.6927499771118164,0.8713543711033419,98.6,17748,468.94536566734314
18,0.34153175354003906,0.8074285984039307,0.5257499814033508,0.8698493368264429,99.6,18304,469.39521527290344
19,0.3533976674079895,0.8180714249610901,0.5092499852180481,0.8680259518571598,1.1,7073,474.0102758407593
20,0.41033753752708435,0.8220714330673218,0.5,0.868520593524359,98.8,17957,470.0522084236145
21,0.3751668334007263,0.8265714049339294,0.5515000224113464,0.8694887675834558,99.6,18220,469.4503433704376
22,0.2247765064239502,0.8334285616874695,0.5,0.8664051018265799,99.6,17971,469.75227451324463
23,0.16871529817581177,0.8361428380012512,0.5774999856948853,0.8645800052944345,99.6,18054,469.67804431915283
24,0.4110279083251953,0.8425714373588562,0.6179999709129333,0.8739006061214616,35.4,17929,470.77305841445923
25,0.5249598622322083,0.8426428437232971,0.5569999814033508,0.8675381564414097,99.2,18137,470.5999300479889
26,0.2386023998260498,0.8477143049240112,0.5,0.871379474025322,99.4,18428,470.48730087280273
27,0.4003812074661255,0.8511428833007812,0.578249990940094,0.8741561995088956,99.3,18512,470.52655243873596
28,0.2337626814842224,0.8535000085830688,0.5490000247955322,0.8650906215483483,99.6,18054,470.70691657066345
29,0.38320720195770264,0.8514285683631897,0.5350000262260437,0.8746742325352126,98.8,17888,470.9580821990967
30,0.16069893538951874,0.8592857122421265,0.7712500095367432,0.873439625190554,99.5,17540,478.88947224617004
31,0.3840462267398834,0.8602856993675232,0.5,0.875255593387434,99.5,17082,468.33412742614746
32,0.5081928968429565,0.8619999885559082,0.609499990940094,0.8756572401391158,0.0,6906,483.11607694625854
33,0.2779979705810547,0.8604999780654907,0.6772500276565552,0.884258414043031,99.2,17929,467.4176423549652
34,0.3376855254173279,0.8598571419715881,0.7879999876022339,0.8864429387762554,24.2,18844,468.4567725658417
35,0.36196500062942505,0.8647857308387756,0.5,0.8880694940163762,99.1,18803,465.9897541999817
36,0.27885669469833374,0.8657857179641724,0.5504999756813049,0.8832360404932952,99.6,17457,466.5075252056122
37,0.3572690486907959,0.8660714030265808,0.5,0.8733123990177911,0.0,5901,473.5548014640808
38,0.26119935512542725,0.8677856922149658,0.531499981880188,0.8792617915270792,99.3,18512,461.10216331481934
39,0.3430554270744324,0.8687142729759216,0.5712500214576721,0.8780631270025285,99.6,18844,464.87036871910095
40,0.17542660236358643,0.8692142963409424,0.7559999823570251,0.8789200494755771,74.8,18179,464.8799707889557
41,0.6926915645599365,0.8700000047683716,0.5302500128746033,0.8833889401089923,99.4,18262,464.22412490844727
42,0.20220482349395752,0.8766428828239441,0.5617499947547913,0.882880605938895,99.3,19094,463.4616103172302
43,0.32793235778808594,0.87628573179245,0.690750002861023,0.8894478726414664,99.4,18720,463.4645130634308
44,0.3194308280944824,0.8770714402198792,0.5,0.8941107403992734,99.6,19094,463.0047821998596
45,0.1571161299943924,0.878000020980835,0.6504999995231628,0.8915451076687144,10.1,18886,464.20648193359375
46,0.18412081897258759,0.8770714402198792,0.5,0.8809031803120065,99.6,18345,463.75788044929504
47,0.46767109632492065,0.8742142915725708,0.5609999895095825,0.8914612410884627,99.6,18012,462.2726294994354
48,0.25941699743270874,0.8804285526275635,0.5,0.8917248217692539,99.1,19011,463.18943452835083
49,0.18507640063762665,0.878000020980835,0.5084999799728394,0.887885786269158,99.5,17582,463.2671573162079
50,0.2596811056137085,0.8741428852081299,0.5550000071525574,0.8800981752457804,0.0,5817,473.285306930542
51,0.5611103773117065,0.8753571510314941,0.5092499852180481,0.8843263060365681,99.4,18969,459.7309694290161
52,0.1954917162656784,0.8822857141494751,0.5920000076293945,0.8877226172762873,99.4,18553,460.63628482818604
53,0.3873932957649231,0.8802857398986816,0.7942500114440918,0.8861879159097755,99.6,18803,459.5818431377411
54,0.3252754509449005,0.8797857165336609,0.7017499804496765,0.8881847392491031,99.3,18220,459.22553038597107
55,0.2788636088371277,0.8822857141494751,0.5,0.8940582524714967,99.6,18096,459.23370146751404
56,0.20434263348579407,0.8877857327461243,0.5130000114440918,0.8917904316789748,99.6,18137,459.0931553840637
57,0.29790428280830383,0.8845000267028809,0.6862499713897705,0.8968617924399127,99.0,18179,459.4039738178253
58,0.7380873560905457,0.8852142691612244,0.559249997138977,0.8980045459109622,99.6,17888,459.29760694503784
59,0.12160269170999527,0.888785719871521,0.5709999799728394,0.9037656665053994,16.3,17748,458.67413115501404
