Epoch,Loss,Acc,Val_acc,Mem_Use,GPU_Use,Pow_Cons,Time
0,0.6771905422210693,0.6338571310043335,0.6802499890327454,0.8168770367598062,99.6,18498,385.90057611465454
1,0.5870709419250488,0.6689285635948181,0.6937500238418579,0.8202579439337648,0.0,5483,397.0528881549835
2,0.7684832215309143,0.6750714182853699,0.6980000138282776,0.8145824014824417,25.2,18928,359.4201204776764
3,0.5914525985717773,0.678857147693634,0.6974999904632568,0.8142224027604086,99.6,18387,363.53242921829224
4,0.5855716466903687,0.6874285936355591,0.687749981880188,0.8155437292900893,0.0,5608,398.4768531322479
5,0.5208641290664673,0.6879285573959351,0.703499972820282,0.8167110151621648,99.5,18720,363.82471323013306
6,0.6286999583244324,0.6867856979370117,0.7122499942779541,0.816540999917845,36.1,5608,397.0379686355591
7,0.6477019786834717,0.6932142972946167,0.7120000123977661,0.8201090379647463,38.8,5650,403.97538661956787
8,0.6764184236526489,0.6884999871253967,0.7005000114440918,0.816053204502095,99.6,18595,360.47370290756226
9,0.5783140659332275,0.6916428804397583,0.6855000257492065,0.8122512528640152,99.6,18761,364.9771864414215
10,0.4495682716369629,0.6981428861618042,0.7077500224113464,0.820673283188345,51.6,5650,397.30420756340027
11,0.514402449131012,0.6977142691612244,0.7095000147819519,0.8114371194625236,99.6,18040,361.9964814186096
12,0.5569057464599609,0.6959285736083984,0.7107499837875366,0.8208615551031958,99.6,18595,366.27308654785156
13,0.4671764671802521,0.6970000267028809,0.7129999995231628,0.822916571579841,99.6,18345,367.0696213245392
14,0.5828381776809692,0.6980000138282776,0.703249990940094,0.8174304420852769,99.6,18262,365.8520710468292
15,0.577540397644043,0.699571430683136,0.6930000185966492,0.8230574902555021,99.7,18512,366.9344141483307
16,0.5851391553878784,0.6959285736083984,0.7142500281333923,0.8240610366137527,99.5,18886,366.94799971580505
17,0.7414977550506592,0.6969285607337952,0.7127500176429749,0.8258530429305607,99.6,18470,366.2745044231415
18,0.4417151212692261,0.701714277267456,0.7089999914169312,0.8206093848414865,61.6,18096,366.0235826969147
19,0.6288167238235474,0.6998571157455444,0.7162500023841858,0.8219666541912751,99.5,18123,366.92653226852417
20,0.4487943649291992,0.7009999752044678,0.6984999775886536,0.8200919223361236,99.6,18512,367.58386039733887
21,0.5291965007781982,0.6977142691612244,0.7067499756813049,0.8242436033190627,99.7,18082,369.2848570346832
22,0.547762393951416,0.7005000114440918,0.7089999914169312,0.8240011319135729,99.5,18262,372.91164112091064
23,0.47910356521606445,0.6999285817146301,0.7139999866485596,0.824647532154561,99.7,18928,369.0784091949463
24,0.5330562591552734,0.6993571519851685,0.7139999866485596,0.8237261408136998,99.6,18512,370.2101743221283
25,0.5544105768203735,0.705214262008667,0.7092499732971191,0.8329543172461639,99.7,18165,374.0193860530853
26,0.22463682293891907,0.7033571600914001,0.7204999923706055,0.8357926589927794,99.6,18082,368.7304446697235
27,0.6542279124259949,0.7019285559654236,0.6997500061988831,0.8311337848816511,99.5,18082,372.9085671901703
28,0.33710670471191406,0.7026428580284119,0.699999988079071,0.8302665930314289,99.5,18082,368.3040404319763
29,0.5554439425468445,0.6998571157455444,0.7122499942779541,0.8297023478078303,99.5,18678,368.15512704849243
30,0.49302423000335693,0.7035714387893677,0.7172499895095825,0.8331985002145159,99.6,18373,368.0961422920227
31,0.4985795021057129,0.7023571133613586,0.7210000157356262,0.8327763147084866,0.0,5608,397.8486211299896
32,0.42199504375457764,0.7007856965065002,0.7129999995231628,0.8317334024044035,99.6,18595,364.2192919254303
33,0.5766276121139526,0.7014999985694885,0.7174999713897705,0.8370837479118933,99.6,18678,366.92064571380615
34,0.7619078159332275,0.7029285430908203,0.7204999923706055,0.8332983413814823,99.6,18304,368.3363552093506
35,0.49679356813430786,0.7013571262359619,0.7112500071525574,0.8367032104355129,99.6,18761,368.1584768295288
36,0.47947853803634644,0.7036428451538086,0.7124999761581421,0.8390651671854604,99.6,18082,369.90216064453125
37,0.4537871479988098,0.7053571343421936,0.7049999833106995,0.8379081506905586,99.4,17790,371.3572883605957
38,0.6616500616073608,0.7048571705818176,0.7197499871253967,0.832577773416462,99.6,18304,374.5247793197632
39,0.5208962559700012,0.7024999856948853,0.715499997138977,0.8326473769728615,99.6,18248,371.32558488845825
40,0.6089940071105957,0.7045000195503235,0.7174999713897705,0.8321310555094068,99.6,18290,373.13301157951355
41,0.5781278610229492,0.7047857046127319,0.71875,0.8327974239837881,99.7,18290,373.3026614189148
42,0.5138208270072937,0.7060714364051819,0.7127500176429749,0.8373142383773471,99.6,17373,375.5856294631958
43,0.49572545289993286,0.7053571343421936,0.7149999737739563,0.8485078594966636,26.8,18220,373.4813811779022
44,0.42113080620765686,0.7072857022285461,0.715749979019165,0.8455097718829017,99.6,17790,372.6021158695221
45,0.590904712677002,0.7049285769462585,0.7164999842643738,0.8427769765127934,99.5,18290,371.5646982192993
46,0.5680296421051025,0.7076428532600403,0.7074999809265137,0.8508441428036769,99.6,17665,371.59439158439636
47,0.6407744884490967,0.7039999961853027,0.7152500152587891,0.8591486458114633,99.5,18262,373.85762214660645
48,0.6102343797683716,0.7007856965065002,0.7260000109672546,0.844694497439502,99.6,17748,365.3512840270996
49,0.7317343354225159,0.7022143006324768,0.7039999961853027,0.8398439282877982,99.7,18761,367.699015378952
50,0.6929082870483398,0.7046428322792053,0.7195000052452087,0.8428209066262585,99.6,18470,368.3666453361511
51,0.5667177438735962,0.7009285688400269,0.7267500162124634,0.8392300477411935,9.4,5483,397.8344452381134
52,0.49191850423812866,0.7018571496009827,0.7192500233650208,0.8430628075107942,99.7,18387,366.3944716453552
53,0.640906572341919,0.704285740852356,0.7182499766349792,0.8481900793252335,0.0,5483,397.94552874565125
54,0.6601499319076538,0.703000009059906,0.7275000214576721,0.8632090434417475,99.7,18373,365.71826672554016
55,0.5985100269317627,0.7023571133613586,0.7057499885559082,0.8423770413239737,0.0,5608,397.8450872898102
56,0.46203097701072693,0.7085000276565552,0.71875,0.8408206601612064,0.0,5608,397.5480477809906
57,0.644234299659729,0.7037143111228943,0.7252500057220459,0.8461630183753389,31.0,18387,366.84440565109253
58,0.7615587711334229,0.7056428790092468,0.7135000228881836,0.8487702991355467,59.2,18428,369.1216654777527
59,0.5603715181350708,0.7084285616874695,0.7179999947547913,0.8492734986170573,99.4,18470,370.1611545085907
